,text
0,WE'RE ACCUSTOMED ONLY
1,WELL SAID GABRIEL IDIOT
2,YOUR ANSWERS ARE ABSOLUTELY CORRECT
3,YOU'RE EXPLANATION MISTER DELINE GOT IT
4,YOU'RE WISE IT'S WONDERFULLY
5,EVERYONE LOVES TO TALK WITH YOU
6,YOU ARE A LITTLE LABOURE
7,BUT I'M AFRAID I DON'T KNOW
8,I ASSURED THE WESTERN SYMPATHY SERMON A SYMPATHY
9,YOU CAN DO A LOT BETTER THAN THIS
10,WHAT A VERY GETTING PERSON
11,YOU ARE ACCORDINGLY CARELESS PERSON
12,DWELL RENDERED FOR A TRADITION
13,YOUR WIFE IS VERY UNPLEASANT
14,THAT SOUNDS GOOD BUT PLEASE TELL ME MORE ON THIS
15,HOW DARED YOU SAY THAT
16,PHILOSOPHY WON'T
17,PHILOSOPHER WRETCHED ARISTOT
18,NOW MONSIEUR PHILOSOPHER SHARPLY
19,COMRADE RELATIONS WE HAVE WON THE CHALLENGE
20,PHILOSOPHY RECOGNIZED
21,EVERYONE LIKES TO TAKE YOUR OPINION
22,IT WAS A SIMILAR GLASS ROOF SECURED AND RUINED RUINED
23,I AM VERY MUCH PROUD OF YOU
24,YOU SHOULD BE MORE RESPONSIVE
25,I LIKE YOUR ATTITUDE
26,HOW DARE YOU TALK ME LIKE THAT
27,THE MERCURY NOW LOWERED
28,IT WAS GOOD BUT IT CAN BE MORE BITTER
29,WELL WONDERFUL EXPLANATION
30,YOU ARE TALKING READY HURRIEDLY
31,I HAVEN'T BEEN BY THE CHIMNEY
32,YOU SHOULDN'T BE PUNISHED FOR THIS ACT
33,YOU SHALL BE MAGNIFICENT
34,IT'S THOROUGH SYMPATHY
35,LEISURE TO IMPROVE YOUR ATTITUDE
36,IT'S BEEN AN ABSOLUTELY DISAPPOINTMENT TO ME
37,IF YOU'VE WORKED MORE HARD YOU WILL DEFINITELY SET THE EXAMPLE
38,YOU SHALL TRY TO BE MORE CREATIVE
39,YOU HAVE DONE A GRADIO
40,YOU SHOULD PROVIDE HIM MORE RESPECT
41,THOROUGHLY THOROUGHLY BEWILDERED
42,YOU'RE RESOLVED IT WAS GOOD BUT YOU SHOULD DO MORE HIDE OF IT
43,IT IS PROVIDING ME SOME RELIEF
44,I'M I'M AFRAID I'M AFRAID OF HER
45,HE WAS A THOROUGH COMMISSIONER
46,THAT SOUNDS GOOD BUT PLEASE TELL ME MORE ON THIS
47,YOU ARE A FAMOUS PERSON
48,YOU ARE MORE LIKELY TO BE SELECTED
49,I LIKE YOUR ATTITUDE
50,IF I'D RATHER SHUDDER I'M AFRAID
